classificacao,sentenca,sentenca_processada1,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
0.0,"É hora de trabalhar, o Governo deve fazer a sua parte, reduzindo cargos de confiança, fazendo uma administração transparente, ética, gerindo os recursos públicos com eficiência e eficácia.","É hora de trabalhar, o Governo deve fazer a sua parte, reduzindo cargos de confiança, fazendo uma administração transparente, ética, gerindo os recursos públicos com eficiência e eficácia.",É hora de trabalhar o Governo deve fazer a sua parte reduzindo cargos de confiança fazendo uma administração transparente ética gerindo os recursos públicos com eficiência e eficácia,E hora de trabalhar o Governo deve fazer a sua parte reduzindo cargos de confianca fazendo uma administracao transparente etica gerindo os recursos publicos com eficiencia e eficacia,E hora trabalhar Governo deve fazer parte reduzindo cargos confianca fazendo administracao transparente etica gerindo recursos publicos eficiencia eficacia,e hora trabalhar governo deve fazer parte reduzindo cargos confianca fazendo administracao transparente etica gerindo recursos publicos eficiencia eficacia,e hor trabalh govern dev faz part reduz carg confianc faz administraca transpar etic ger recurs publ eficienc eficac
0.0,"Propondo as reformas necessárias (política, tributária, desburocratizando e facilitando o empreendedorismo).","Propondo as reformas necessárias (política, tributária, desburocratizando e facilitando o empreendedorismo).",Propondo as reformas necessárias política tributária desburocratizando e facilitando o empreendedorismo,Propondo as reformas necessarias politica tributaria desburocratizando e facilitando o empreendedorismo,Propondo reformas necessarias politica tributaria desburocratizando facilitando empreendedorismo,propondo reformas necessarias politica tributaria desburocratizando facilitando empreendedorismo,prop reform necess poli tribut desburocratiz facilit empreendedor
0.0,"A previdência antes de ser reformada tem que ser auditada, com certeza teremos pensões pagas indevidamente e aposentadoria por invalidez inaptas.","A previdência antes de ser reformada tem que ser auditada, com certeza teremos pensões pagas indevidamente e aposentadoria por invalidez inaptas.",A previdência antes de ser reformada tem que ser auditada com certeza teremos pensões pagas indevidamente e aposentadoria por invalidez inaptas,A previdencia antes de ser reformada tem que ser auditada com certeza teremos pensoes pagas indevidamente e aposentadoria por invalidez inaptas,A previdencia antes ser reformada ser auditada certeza pensoes pagas indevidamente aposentadoria invalidez inaptas,a previdencia antes ser reformada ser auditada certeza pensoes pagas indevidamente aposentadoria invalidez inaptas,a previdenc ant ser reform ser audit cert penso pag indevid aposentad invalid inapt
0.0,E o mais importante destravar a economia baixando juro,E o mais importante destravar a economia baixando juro,E o mais importante destravar a economia baixando juro,E o mais importante destravar a economia baixando juro,E importante destravar economia baixando juro,e importante destravar economia baixando juro,e import destrav econom baix jur
0.0,Claro que não.,Claro que não.,Claro que não,Claro que nao,Claro,claro,clar
0.0,"Tira-se um presidente quando não confiamos mais nele, nem como chefe de Estado, nem como gente.","Tira-se um presidente quando não confiamos mais nele, nem como chefe de Estado, nem como gente.",Tirase um presidente quando não confiamos mais nele nem como chefe de Estado nem como gente,Tirase um presidente quando nao confiamos mais nele nem como chefe de Estado nem como gente,Tirase presidente confiamos nele chefe Estado gente,tirase presidente confiamos nele chefe estado gente,tiras presid confi nel chef est gent
0.0,Alguém manda essa incompetente e ladra para a guilhotina!,Alguém manda essa incompetente e ladra para a guilhotina!,Alguém manda essa incompetente e ladra para a guilhotina,Alguem manda essa incompetente e ladra para a guilhotina,Alguem manda incompetente ladra guilhotina,alguem manda incompetente ladra guilhotina,algu mand incompet ladr guilhotin
0.0,Golpe é segurar tarifas e pedalar para reeleger-se.,Golpe é segurar tarifas e pedalar para reeleger-se.,Golpe é segurar tarifas e pedalar para reelegerse,Golpe e segurar tarifas e pedalar para reelegerse,Golpe segurar tarifas pedalar reelegerse,golpe segurar tarifas pedalar reelegerse,golp segur tarif pedal reelegers
0.0,Aparelhar o Estado para anular o efeito das investigações.,Aparelhar o Estado para anular o efeito das investigações.,Aparelhar o Estado para anular o efeito das investigações,Aparelhar o Estado para anular o efeito das investigacoes,Aparelhar Estado anular efeito investigacoes,aparelhar estado anular efeito investigacoes,aparelh est anul efeit investigaco
0.0,proteger os responsáveis pelos desvios.,proteger os responsáveis pelos desvios.,proteger os responsáveis pelos desvios,proteger os responsaveis pelos desvios,proteger responsaveis desvios,proteger responsaveis desvios,proteg responsa desvi
0.0,não assumir a responsabilidade do cargo.,não assumir a responsabilidade do cargo.,não assumir a responsabilidade do cargo,nao assumir a responsabilidade do cargo,assumir responsabilidade cargo,assumir responsabilidade cargo,assum respons carg
0.0,fazer acordos com ditadores comunistas de países mais pobres para financiar obras com recursos públicos.,fazer acordos com ditadores comunistas de países mais pobres para financiar obras com recursos públicos.,fazer acordos com ditadores comunistas de países mais pobres para financiar obras com recursos públicos,fazer acordos com ditadores comunistas de paises mais pobres para financiar obras com recursos publicos,fazer acordos ditadores comunistas paises pobres financiar obras recursos publicos,fazer acordos ditadores comunistas paises pobres financiar obras recursos publicos,faz acord dit comun pais pobr financi obr recurs publ
0.0,lavar dinheiro da corrupção.,lavar dinheiro da corrupção.,lavar dinheiro da corrupção,lavar dinheiro da corrupcao,lavar dinheiro corrupcao,lavar dinheiro corrupcao,lav dinh corrupca
0.0,jogar país na recessão e continuar no poder.,jogar país na recessão e continuar no poder.,jogar país na recessão e continuar no poder,jogar pais na recessao e continuar no poder,jogar pais recessao continuar poder,jogar pais recessao continuar poder,jog pal recessa continu pod
0.0,"A questão não é simpatizar ou não com ela, é simplesmente uma tentativa de salvar o Brasil.","A questão não é simpatizar ou não com ela, é simplesmente uma tentativa de salvar o Brasil.",A questão não é simpatizar ou não com ela é simplesmente uma tentativa de salvar o Brasil,A questao nao e simpatizar ou nao com ela e simplesmente uma tentativa de salvar o Brasil,A questao simpatizar simplesmente tentativa salvar Brasil,a questao simpatizar simplesmente tentativa salvar brasil,a questa simpa simples tent salv brasil
0.0,"Vários ex presidentes e muitos politicos conseguiram aposentadorias por volta dos quarenta e poucos anos e nós agora temos que pagar o pato ,trabalhando por mais tempo e conseguindo uma minguada aposentadoria no futuro..","Vários ex presidentes e muitos politicos conseguiram aposentadorias por volta dos quarenta e poucos anos e nós agora temos que pagar o pato ,trabalhando por mais tempo e conseguindo uma minguada aposentadoria no futuro..",Vários ex presidentes e muitos politicos conseguiram aposentadorias por volta dos quarenta e poucos anos e nós agora temos que pagar o pato trabalhando por mais tempo e conseguindo uma minguada aposentadoria no futuro,Varios ex presidentes e muitos politicos conseguiram aposentadorias por volta dos quarenta e poucos anos e nos agora temos que pagar o pato trabalhando por mais tempo e conseguindo uma minguada aposentadoria no futuro,Varios ex presidentes muitos politicos conseguiram aposentadorias volta quarenta poucos anos agora pagar pato trabalhando tempo conseguindo minguada aposentadoria futuro,varios ex presidentes muitos politicos conseguiram aposentadorias volta quarenta poucos anos agora pagar pato trabalhando tempo conseguindo minguada aposentadoria futuro,vari ex presid muit poli consegu aposentad volt quarent pouc ano agor pag pat trabalh temp consegu mingu aposentad futur
0.0,"Então que se retire a aposentadoria deles todos, que costumam ter diversas acumuladas entre si e parentes deles, que sempre estiveram nas tetas do governo.","Então que se retire a aposentadoria deles todos, que costumam ter diversas acumuladas entre si e parentes deles, que sempre estiveram nas tetas do governo.",Então que se retire a aposentadoria deles todos que costumam ter diversas acumuladas entre si e parentes deles que sempre estiveram nas tetas do governo,Entao que se retire a aposentadoria deles todos que costumam ter diversas acumuladas entre si e parentes deles que sempre estiveram nas tetas do governo,Entao retire aposentadoria todos costumam ter diversas acumuladas si parentes sempre tetas governo,entao retire aposentadoria todos costumam ter diversas acumuladas si parentes sempre tetas governo,enta ret aposentad tod costum ter divers acumul si parent sempr tet govern
0.0,"Essa sabe irritar, esse discurso de golpistas nada mas é para tirar saro.","Essa sabe irritar, esse discurso de golpistas nada mas é para tirar saro.",Essa sabe irritar esse discurso de golpistas nada mas é para tirar saro,Essa sabe irritar esse discurso de golpistas nada mas e para tirar saro,Essa sabe irritar discurso golpistas nada tirar saro,essa sabe irritar discurso golpistas nada tirar saro,ess sab irrit discurs golp nad tir sar
0.0,Amargaremos marasmo econômico até quando por conta de querelas políticas dessa elite gananciosa e corrupta?,Amargaremos marasmo econômico até quando por conta de querelas políticas dessa elite gananciosa e corrupta?,Amargaremos marasmo econômico até quando por conta de querelas políticas dessa elite gananciosa e corrupta,Amargaremos marasmo economico ate quando por conta de querelas politicas dessa elite gananciosa e corrupta,Amargaremos marasmo economico conta querelas politicas dessa elite gananciosa corrupta,amargaremos marasmo economico conta querelas politicas dessa elite gananciosa corrupta,amarg marasm econom cont querel poli dess elit gananci corrupt
0.0,Onde as opções de poder(judiciário-stf) da República para preencher esse vácuo de Poder prejudicial á Nação e indicar consulta popular?,Onde as opções de poder(judiciário-stf) da República para preencher esse vácuo de Poder prejudicial á Nação e indicar consulta popular?,Onde as opções de poderjudiciáriostf da República para preencher esse vácuo de Poder prejudicial á Nação e indicar consulta popular,Onde as opcoes de poderjudiciariostf da Republica para preencher esse vacuo de Poder prejudicial a Nacao e indicar consulta popular,Onde opcoes poderjudiciariostf Republica preencher vacuo Poder prejudicial Nacao indicar consulta popular,onde opcoes poderjudiciariostf republica preencher vacuo poder prejudicial nacao indicar consulta popular,ond opco poderjudiciariostf republ preench vacu pod prejudic naca indic consult popul
0.0,"Pobre Nação, pobres de nós do andar de baixo que sofremos e não nos manifestamos geral e genuinamente apontando e exigindo saída, apenas nos deixamos conduzir por falsos líderes que mais defendem os ""no poder"" que os ""dependentes do poder"".","Pobre Nação, pobres de nós do andar de baixo que sofremos e não nos manifestamos geral e genuinamente apontando e exigindo saída, apenas nos deixamos conduzir por falsos líderes que mais defendem os ""no poder"" que os ""dependentes do poder"".",Pobre Nação pobres de nós do andar de baixo que sofremos e não nos manifestamos geral e genuinamente apontando e exigindo saída apenas nos deixamos conduzir por falsos líderes que mais defendem os no poder que os dependentes do poder,Pobre Nacao pobres de nos do andar de baixo que sofremos e nao nos manifestamos geral e genuinamente apontando e exigindo saida apenas nos deixamos conduzir por falsos lideres que mais defendem os no poder que os dependentes do poder,Pobre Nacao pobres andar baixo sofremos manifestamos geral genuinamente apontando exigindo saida apenas deixamos conduzir falsos lideres defendem poder dependentes poder,pobre nacao pobres andar baixo sofremos manifestamos geral genuinamente apontando exigindo saida apenas deixamos conduzir falsos lideres defendem poder dependentes poder,pobr naca pobr and baix sofr manifest geral genuin apont exig said apen deix conduz fals lid defend pod depend pod
0.0,Dá asco ouvir essa senhora justificar seu mandato e permanecer na presidência.,Dá asco ouvir essa senhora justificar seu mandato e permanecer na presidência.,Dá asco ouvir essa senhora justificar seu mandato e permanecer na presidência,Da asco ouvir essa senhora justificar seu mandato e permanecer na presidencia,Da asco ouvir senhora justificar mandato permanecer presidencia,da asco ouvir senhora justificar mandato permanecer presidencia,da asc ouv senh justific mandat permanec presidenc
0.0,É verdade...,É verdade...,É verdade,E verdade,E verdade,e verdade,e verdad
0.0,"A gente além de não gostar da Dilma, detesta, tem raiva, abomina, etc...","A gente além de não gostar da Dilma, detesta, tem raiva, abomina, etc...",A gente além de não gostar da Dilma detesta tem raiva abomina etc,A gente alem de nao gostar da Dilma detesta tem raiva abomina etc,A gente alem gostar Dilma detesta raiva abomina etc,a gente alem gostar dilma detesta raiva abomina etc,a gent alem gost dilm detest raiv abomin etc
0.0,"Todos os meus subordinados são corruptos, eu não.","Todos os meus subordinados são corruptos, eu não.",Todos os meus subordinados são corruptos eu não,Todos os meus subordinados sao corruptos eu nao,Todos subordinados corruptos,todos subordinados corruptos,tod subordin corrupt
0.0,Conversinha mole e fiada e assim dona Dilma se faz de alienada diante dos fatos políticos do país.,Conversinha mole e fiada e assim dona Dilma se faz de alienada diante dos fatos políticos do país.,Conversinha mole e fiada e assim dona Dilma se faz de alienada diante dos fatos políticos do país,Conversinha mole e fiada e assim dona Dilma se faz de alienada diante dos fatos politicos do pais,Conversinha mole fiada assim dona Dilma faz alienada diante fatos politicos pais,conversinha mole fiada assim dona dilma faz alienada diante fatos politicos pais,convers mol fi assim don dilm faz alien di fat poli pal
0.0,Falaste por mim eduardo,Falaste por mim eduardo,Falaste por mim eduardo,Falaste por mim eduardo,Falaste mim eduardo,falaste mim eduardo,fal mim eduard
0.0,Como se tudo o que ela fez de ilegal não é considerado muito mais que golpista.,Como se tudo o que ela fez de ilegal não é considerado muito mais que golpista.,Como se tudo o que ela fez de ilegal não é considerado muito mais que golpista,Como se tudo o que ela fez de ilegal nao e considerado muito mais que golpista,Como tudo fez ilegal considerado golpista,como tudo fez ilegal considerado golpista,com tud fez ileg consider golp
0.0,A falta de vergonha na cara destas pessoas é humilhante.,A falta de vergonha na cara destas pessoas é humilhante.,A falta de vergonha na cara destas pessoas é humilhante,A falta de vergonha na cara destas pessoas e humilhante,A falta vergonha cara destas pessoas humilhante,a falta vergonha cara destas pessoas humilhante,a falt vergonh car dest pesso humilh
0.0,É isso aí!,É isso aí!,É isso aí,E isso ai,E ai,e ai,e ai
0.0,Assino em baixo.,Assino em baixo.,Assino em baixo,Assino em baixo,Assino baixo,assino baixo,assin baix
0.0,"Parabéns, caro Eduardo!","Parabéns, caro Eduardo!",Parabéns caro Eduardo,Parabens caro Eduardo,Parabens caro Eduardo,parabens caro eduardo,parab car eduard
0.0,Conceituastes muitíssimo bem!,Conceituastes muitíssimo bem!,Conceituastes muitíssimo bem,Conceituastes muitissimo bem,Conceituastes muitissimo bem,conceituastes muitissimo bem,conceitu muitiss bem
0.0,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase.,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase.,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase,Eu gostaria de me lembrar onde e quando foi que eu ouvi essa frase,Eu gostaria lembrar onde ouvi frase,eu gostaria lembrar onde ouvi frase,eu gost lembr ond ouv fras
0.0,Faça um plebiscito e verá o que a população pensa de você agora.,Faça um plebiscito e verá o que a população pensa de você agora.,Faça um plebiscito e verá o que a população pensa de você agora,Faca um plebiscito e vera o que a populacao pensa de voce agora,Faca plebiscito vera populacao pensa agora,faca plebiscito vera populacao pensa agora,fac plebiscit ver populaca pens agor
0.0,Você enganou o povo Brasileiro.,Você enganou o povo Brasileiro.,Você enganou o povo Brasileiro,Voce enganou o povo Brasileiro,Voce enganou povo Brasileiro,voce enganou povo brasileiro,voc engan pov brasil
0.0,Mentiu na campanha.,Mentiu na campanha.,Mentiu na campanha,Mentiu na campanha,Mentiu campanha,mentiu campanha,ment campanh
0.0,"Estou sofrendo, mas em paz com minha consciência porque NÃO VOTEI EM VOCÊ.","Estou sofrendo, mas em paz com minha consciência porque NÃO VOTEI EM VOCÊ.",Estou sofrendo mas em paz com minha consciência porque NÃO VOTEI EM VOCÊ,Estou sofrendo mas em paz com minha consciencia porque NAO VOTEI EM VOCE,Estou sofrendo paz consciencia porque NAO VOTEI EM VOCE,estou sofrendo paz consciencia porque nao votei em voce,est sofr paz conscienc porqu nao vot em voc
0.0,Nossa!,Nossa!,Nossa,Nossa,Nossa,nossa,noss
0.0,Onde estava quando ocorreu o desastre ambiental de Mariana?!,Onde estava quando ocorreu o desastre ambiental de Mariana?!,Onde estava quando ocorreu o desastre ambiental de Mariana,Onde estava quando ocorreu o desastre ambiental de Mariana,Onde ocorreu desastre ambiental Mariana,onde ocorreu desastre ambiental mariana,ond ocorr desastr ambient mari
0.0,Nada de novo que se possa acrescentar.,Nada de novo que se possa acrescentar.,Nada de novo que se possa acrescentar,Nada de novo que se possa acrescentar,Nada novo possa acrescentar,nada novo possa acrescentar,nad nov poss acrescent
0.0,"Ela nunca teve liderança alguma, tendo sido usada pelo seu criador para proveito pessoal.","Ela nunca teve liderança alguma, tendo sido usada pelo seu criador para proveito pessoal.",Ela nunca teve liderança alguma tendo sido usada pelo seu criador para proveito pessoal,Ela nunca teve lideranca alguma tendo sido usada pelo seu criador para proveito pessoal,Ela nunca lideranca alguma tendo sido usada criador proveito pessoal,ela nunca lideranca alguma tendo sido usada criador proveito pessoal,ela nunc lideranc algum tend sid us cri proveit pessoal
0.0,É cúmplice ao permitir que alguns saqueassem o país sem nada fazer para impedir o desmonte da economia .,É cúmplice ao permitir que alguns saqueassem o país sem nada fazer para impedir o desmonte da economia .,É cúmplice ao permitir que alguns saqueassem o país sem nada fazer para impedir o desmonte da economia ,E cumplice ao permitir que alguns saqueassem o pais sem nada fazer para impedir o desmonte da economia ,E cumplice permitir alguns saqueassem pais nada fazer impedir desmonte economia,e cumplice permitir alguns saqueassem pais nada fazer impedir desmonte economia,e cumpl permit algum saque pal nad faz imped desmont econom
0.0,"Liderança é coisa séria... a Marina deveria se preocupar em explicar o porque de ter apoiado no 2° turno um candidato citado duas vezes pelos delatores da lava jato como beneficiário de propinas na petrobrás e em Furnas... que não é investigado... deveria explicar as acusações também da lava jato sobre EC, seu candidato a presidencia....","Liderança é coisa séria... a Marina deveria se preocupar em explicar o porque de ter apoiado no 2° turno um candidato citado duas vezes pelos delatores da lava jato como beneficiário de propinas na petrobrás e em Furnas... que não é investigado... deveria explicar as acusações também da lava jato sobre EC, seu candidato a presidencia....",Liderança é coisa séria a Marina deveria se preocupar em explicar o porque de ter apoiado no 2 turno um candidato citado duas vezes pelos delatores da lava jato como beneficiário de propinas na petrobrás e em Furnas que não é investigado deveria explicar as acusações também da lava jato sobre EC seu candidato a presidencia,Lideranca e coisa seria a Marina deveria se preocupar em explicar o porque de ter apoiado no 2 turno um candidato citado duas vezes pelos delatores da lava jato como beneficiario de propinas na petrobras e em Furnas que nao e investigado deveria explicar as acusacoes tambem da lava jato sobre EC seu candidato a presidencia,Lideranca coisa Marina deveria preocupar explicar porque ter apoiado 2 turno candidato citado duas vezes delatores lava jato beneficiario propinas petrobras Furnas investigado deveria explicar acusacoes lava jato sobre EC candidato presidencia,lideranca coisa marina deveria preocupar explicar porque ter apoiado 2 turno candidato citado duas vezes delatores lava jato beneficiario propinas petrobras furnas investigado deveria explicar acusacoes lava jato sobre ec candidato presidencia,lideranc cois marin dev preocup explic porqu ter apoi 2 turn candidat cit dua vez dela lav jat beneficiari propin petrobr furn investig dev explic acusaco lav jat sobr ec candidat presidenc
0.0,Deveria no mínimo pedir a lava jato para todos os partidos antes que venham as novas eleições e o brasileiro se veja obrigado a escolher um candidato não inves,Deveria no mínimo pedir a lava jato para todos os partidos antes que venham as novas eleições e o brasileiro se veja obrigado a escolher um candidato não inves,Deveria no mínimo pedir a lava jato para todos os partidos antes que venham as novas eleições e o brasileiro se veja obrigado a escolher um candidato não inves,Deveria no minimo pedir a lava jato para todos os partidos antes que venham as novas eleicoes e o brasileiro se veja obrigado a escolher um candidato nao inves,Deveria minimo pedir lava jato todos partidos antes venham novas eleicoes brasileiro veja obrigado escolher candidato inves,deveria minimo pedir lava jato todos partidos antes venham novas eleicoes brasileiro veja obrigado escolher candidato inves,dev min ped lav jat tod part ant venh nov eleico brasil vej obrig escolh candidat inv
0.0,O que o ressentimento não faz com a pessoal?!,O que o ressentimento não faz com a pessoal?!,O que o ressentimento não faz com a pessoal,O que o ressentimento nao faz com a pessoal,O ressentimento faz pessoal,o ressentimento faz pessoal,o ressent faz pessoal
0.0,E isso a Dilma não é.,E isso a Dilma não é.,E isso a Dilma não é,E isso a Dilma nao e,E Dilma,e dilma,e dilm
0.0,Mas temos de reconhecer que desta vez mostrou discernimento ao fazer uma boa síntese da situação.,Mas temos de reconhecer que desta vez mostrou discernimento ao fazer uma boa síntese da situação.,Mas temos de reconhecer que desta vez mostrou discernimento ao fazer uma boa síntese da situação,Mas temos de reconhecer que desta vez mostrou discernimento ao fazer uma boa sintese da situacao,Mas reconhecer desta vez mostrou discernimento fazer boa sintese situacao,mas reconhecer desta vez mostrou discernimento fazer boa sintese situacao,mas reconhec dest vez mostr discern faz boa sintes situaca
0.0,Para mim ela só demonstrou ressentimento e inveja.,Para mim ela só demonstrou ressentimento e inveja.,Para mim ela só demonstrou ressentimento e inveja,Para mim ela so demonstrou ressentimento e inveja,Para mim demonstrou ressentimento inveja,para mim demonstrou ressentimento inveja,par mim demonstr ressent invej
0.0,O problema se chama: Foro de São Paulo.,O problema se chama: Foro de São Paulo.,O problema se chama Foro de São Paulo,O problema se chama Foro de Sao Paulo,O problema chama Foro Sao Paulo,o problema chama foro sao paulo,o problem cham for sao paul
0.0,Qual a posição desta senhora sobre esta organização?,Qual a posição desta senhora sobre esta organização?,Qual a posição desta senhora sobre esta organização,Qual a posicao desta senhora sobre esta organizacao,Qual posicao desta senhora sobre organizacao,qual posicao desta senhora sobre organizacao,qual posica dest senh sobr organizaca
0.0,Nunca teve!,Nunca teve!,Nunca teve,Nunca teve,Nunca,nunca,nunc
0.0,Humm...,Humm...,Humm,Humm,Humm,humm,humm
0.0,Nunca teve.,Nunca teve.,Nunca teve,Nunca teve,Nunca,nunca,nunc
0.0,"Engano seu, quem manda no congresso há muito tempo é o cunha.","Engano seu, quem manda no congresso há muito tempo é o cunha.",Engano seu quem manda no congresso há muito tempo é o cunha,Engano seu quem manda no congresso ha muito tempo e o cunha,Engano manda congresso tempo cunha,engano manda congresso tempo cunha,engan mand congress temp cunh
0.0,Saiu das sombras para tentar defender a quadrilha e se deu mal.,Saiu das sombras para tentar defender a quadrilha e se deu mal.,Saiu das sombras para tentar defender a quadrilha e se deu mal,Saiu das sombras para tentar defender a quadrilha e se deu mal,Saiu sombras tentar defender quadrilha deu mal,saiu sombras tentar defender quadrilha deu mal,saiu sombr tent defend quadrilh deu mal
0.0,Complicada ....,Complicada ....,Complicada ,Complicada ,Complicada,complicada,complic
0.0,lé com cré ou não conhece as leis .,lé com cré ou não conhece as leis .,lé com cré ou não conhece as leis ,le com cre ou nao conhece as leis ,le cre conhece leis,le cre conhece leis,le cre conhec lei
0.0,"- Vamos pesquisar as biografias e ver o que estes tais fazem de natureza prática, o que trabalham e o que produzem positivamente para a nação...","- Vamos pesquisar as biografias e ver o que estes tais fazem de natureza prática, o que trabalham e o que produzem positivamente para a nação...", Vamos pesquisar as biografias e ver o que estes tais fazem de natureza prática o que trabalham e o que produzem positivamente para a nação, Vamos pesquisar as biografias e ver o que estes tais fazem de natureza pratica o que trabalham e o que produzem positivamente para a nacao,Vamos pesquisar biografias ver tais fazem natureza pratica trabalham produzem positivamente nacao,vamos pesquisar biografias ver tais fazem natureza pratica trabalham produzem positivamente nacao,vam pesquis biograf ver tal faz natur pra trabalh produz positiv naca
0.0,se é que sabem trabalhar e se é que já produziram algo positivo..(...),se é que sabem trabalhar e se é que já produziram algo positivo..(...),se é que sabem trabalhar e se é que já produziram algo positivo,se e que sabem trabalhar e se e que ja produziram algo positivo,sabem trabalhar produziram algo positivo,sabem trabalhar produziram algo positivo,sab trabalh produz alg posi
0.0,Não tem nada a ver caro leitor.,Não tem nada a ver caro leitor.,Não tem nada a ver caro leitor,Nao tem nada a ver caro leitor,Nao nada ver caro leitor,nao nada ver caro leitor,nao nad ver car leit
0.0,"O seu Cunha sabe trabalhar, é trabalhador, mas trabalha só para o mal, contribui para o país?","O seu Cunha sabe trabalhar, é trabalhador, mas trabalha só para o mal, contribui para o país?",O seu Cunha sabe trabalhar é trabalhador mas trabalha só para o mal contribui para o país,O seu Cunha sabe trabalhar e trabalhador mas trabalha so para o mal contribui para o pais,O Cunha sabe trabalhar trabalhador trabalha mal contribui pais,o cunha sabe trabalhar trabalhador trabalha mal contribui pais,o cunh sab trabalh trabalh trabalh mal contribu pal
0.0,Ou somente se aproveita ?,Ou somente se aproveita ?,Ou somente se aproveita ,Ou somente se aproveita ,Ou somente aproveita,ou somente aproveita,ou soment aproveit
0.0,Retrógrada é ela mesmo.,Retrógrada é ela mesmo.,Retrógrada é ela mesmo,Retrograda e ela mesmo,Retrograda,retrograda,retrogr
0.0,Essa mulher ainda é ouvida!,Essa mulher ainda é ouvida!,Essa mulher ainda é ouvida,Essa mulher ainda e ouvida,Essa mulher ainda ouvida,essa mulher ainda ouvida,ess mulh aind ouv
0.0,Ah!!,Ah!!,Ah,Ah,Ah,ah,ah
0.0,Tem paciência!!!,Tem paciência!!!,Tem paciência,Tem paciencia,Tem paciencia,tem paciencia,tem pacienc
0.0,"Esta aí é fã de ditadores, não existe nada mais retrógrado do que apoiar ditaduras.","Esta aí é fã de ditadores, não existe nada mais retrógrado do que apoiar ditaduras.",Esta aí é fã de ditadores não existe nada mais retrógrado do que apoiar ditaduras,Esta ai e fa de ditadores nao existe nada mais retrogrado do que apoiar ditaduras,Esta ai fa ditadores existe nada retrogrado apoiar ditaduras,esta ai fa ditadores existe nada retrogrado apoiar ditaduras,est ai fa dit exist nad retrogr apoi ditad
0.0,"Num governo parlamentarista, isto seria facilmente resolvido.","Num governo parlamentarista, isto seria facilmente resolvido.",Num governo parlamentarista isto seria facilmente resolvido,Num governo parlamentarista isto seria facilmente resolvido,Num governo parlamentarista facilmente resolvido,num governo parlamentarista facilmente resolvido,num govern parlamentar facil resolv
0.0,Bastaria o congresso destituir o atual e nomear outro presidente.,Bastaria o congresso destituir o atual e nomear outro presidente.,Bastaria o congresso destituir o atual e nomear outro presidente,Bastaria o congresso destituir o atual e nomear outro presidente,Bastaria congresso destituir atual nomear outro presidente,bastaria congresso destituir atual nomear outro presidente,bast congress destitu atual nome outr presid
0.0,Parlamentarismo já,Parlamentarismo já,Parlamentarismo já,Parlamentarismo ja,Parlamentarismo,parlamentarismo,parlamentar
0.0,1 - O que a filha achou do Governo do pai no pobre Rio Grande do Sul.,1 - O que a filha achou do Governo do pai no pobre Rio Grande do Sul.,1  O que a filha achou do Governo do pai no pobre Rio Grande do Sul,1  O que a filha achou do Governo do pai no pobre Rio Grande do Sul,1 O filha achou Governo pai pobre Rio Grande Sul,1 o filha achou governo pai pobre rio grande sul,1 o filh ach govern pai pobr rio grand sul
0.0,2 - O que acha dos governos bolivarianos na América Latina.,2 - O que acha dos governos bolivarianos na América Latina.,2  O que acha dos governos bolivarianos na América Latina,2  O que acha dos governos bolivarianos na America Latina,2 O acha governos bolivarianos America Latina,2 o acha governos bolivarianos america latina,2 o ach govern bolivari amer latin
0.0,Pior que governo do Sartori ninguem.,Pior que governo do Sartori ninguem.,Pior que governo do Sartori ninguem,Pior que governo do Sartori ninguem,Pior governo Sartori ninguem,pior governo sartori ninguem,pi govern sartor ning
0.0,"Sabemos que o Cunha, Renan e Temer são cumplices desse governo.","Sabemos que o Cunha, Renan e Temer são cumplices desse governo.",Sabemos que o Cunha Renan e Temer são cumplices desse governo,Sabemos que o Cunha Renan e Temer sao cumplices desse governo,Sabemos Cunha Renan Temer cumplices desse governo,sabemos cunha renan temer cumplices desse governo,sab cunh renan tem cumpl dess govern
0.0,Agora o que me espanta é que a Luciana não menciona nunca as culpas que envolvem o PT e o Lula.,Agora o que me espanta é que a Luciana não menciona nunca as culpas que envolvem o PT e o Lula.,Agora o que me espanta é que a Luciana não menciona nunca as culpas que envolvem o PT e o Lula,Agora o que me espanta e que a Luciana nao menciona nunca as culpas que envolvem o PT e o Lula,Agora espanta Luciana menciona nunca culpas envolvem PT Lula,agora espanta luciana menciona nunca culpas envolvem pt lula,agor espant luci menc nunc culp envolv pt lul
0.0,Duas perguntas que o entrevistador poderia ter perguntado:,Duas perguntas que o entrevistador poderia ter perguntado:,Duas perguntas que o entrevistador poderia ter perguntado,Duas perguntas que o entrevistador poderia ter perguntado,Duas perguntas entrevistador poderia ter perguntado,duas perguntas entrevistador poderia ter perguntado,dua pergunt entrevist pod ter pergunt
0.0,o que a Luciana achou do governo do seu pai no Rio Grande do Sul?,o que a Luciana achou do governo do seu pai no Rio Grande do Sul?,o que a Luciana achou do governo do seu pai no Rio Grande do Sul,o que a Luciana achou do governo do seu pai no Rio Grande do Sul,Luciana achou governo pai Rio Grande Sul,luciana achou governo pai rio grande sul,luci ach govern pai rio grand sul
