sentenca_original,sentenca_processada1,classificacao,sentenca_processada2,sentenca_processada3_1,sentenca_processada3_2,sentenca_processada3_3,sentenca_processada3_4
São personalidades desprezíveis que representam ameaça à Democracia.,São personalidades desprezíveis que representam ameaça à Democracia.,0,São personalidades desprezíveis que representam ameaça à Democracia,Sao personalidades despreziveis que representam ameaca a Democracia,Sao personalidades despreziveis representam ameaca Democracia,sao personalidades despreziveis representam ameaca democracia,sao personal desprezi represent ameac democrac
Olho neles !,Olho neles !,0,Olho neles ,Olho neles ,Olho neles,olho neles,olh nel
"Estes representantes do PMDB e PSDB fizeram o Brasil DESPERDIÇAR 2015 e tudo o que de ruim hoje acontece, deriva das decisões que tomaram em conjunto.","Estes representantes do PMDB e PSDB fizeram o Brasil DESPERDIÇAR 2015 e tudo o que de ruim hoje acontece, deriva das decisões que tomaram em conjunto.",0,Estes representantes do PMDB e PSDB fizeram o Brasil DESPERDIÇAR 2015 e tudo o que de ruim hoje acontece deriva das decisões que tomaram em conjunto,Estes representantes do PMDB e PSDB fizeram o Brasil DESPERDICAR 2015 e tudo o que de ruim hoje acontece deriva das decisoes que tomaram em conjunto,Estes representantes PMDB PSDB fizeram Brasil DESPERDICAR 2015 tudo ruim hoje acontece deriva decisoes tomaram conjunto,estes representantes pmdb psdb fizeram brasil desperdicar 2015 tudo ruim hoje acontece deriva decisoes tomaram conjunto,est represent pmdb psdb fiz brasil desperdic 2015 tud ruim hoj acontec deriv deciso tom conjunt
São os CARRASCOS dos trabalhadores !,São os CARRASCOS dos trabalhadores !,0,São os CARRASCOS dos trabalhadores ,Sao os CARRASCOS dos trabalhadores ,Sao CARRASCOS trabalhadores,sao carrascos trabalhadores,sao carrasc trabalh
"Se o PMDB fosse um partido sério, certamente não teria, nos dias de hoje, nenhuma aproximação com o PSDB, visto que já foram aliados, em parte, durante o governo dos Tucanos e saíram, depois que o PT chegou ao poder.","Se o PMDB fosse um partido sério, certamente não teria, nos dias de hoje, nenhuma aproximação com o PSDB, visto que já foram aliados, em parte, durante o governo dos Tucanos e saíram, depois que o PT chegou ao poder.",0,Se o PMDB fosse um partido sério certamente não teria nos dias de hoje nenhuma aproximação com o PSDB visto que já foram aliados em parte durante o governo dos Tucanos e saíram depois que o PT chegou ao poder,Se o PMDB fosse um partido serio certamente nao teria nos dias de hoje nenhuma aproximacao com o PSDB visto que ja foram aliados em parte durante o governo dos Tucanos e sairam depois que o PT chegou ao poder,Se PMDB partido serio certamente dias hoje nenhuma aproximacao PSDB visto aliados parte durante governo Tucanos sairam PT chegou poder,se pmdb partido serio certamente dias hoje nenhuma aproximacao psdb visto aliados parte durante governo tucanos sairam pt chegou poder,se pmdb part seri cert dia hoj nenhum aproximaca psdb vist ali part dur govern tucan sair pt cheg pod
"Portanto, pelo visto [esses pmdebistas]P7 são uns lambe botas daqueles que estão no poder e para tanto, eles se camuflam de amigos daqueles que podem ajudá-los a permanecerem com a caneta nas mãos, mesmo traindo a suas consciências e aos seus aliados do momento.","Portanto, pelo visto esses pmdebistas são uns lambe botas daqueles que estão no poder e para tanto, eles se camuflam de amigos daqueles que podem ajudá-los a permanecerem com a caneta nas mãos, mesmo traindo a suas consciências e aos seus aliados do momento.",0,Portanto pelo visto esses pmdebistas são uns lambe botas daqueles que estão no poder e para tanto eles se camuflam de amigos daqueles que podem ajudálos a permanecerem com a caneta nas mãos mesmo traindo a suas consciências e aos seus aliados do momento,Portanto pelo visto esses pmdebistas sao uns lambe botas daqueles que estao no poder e para tanto eles se camuflam de amigos daqueles que podem ajudalos a permanecerem com a caneta nas maos mesmo traindo a suas consciencias e aos seus aliados do momento,Portanto visto pmdebistas uns lambe botas daqueles poder tanto camuflam amigos daqueles podem ajudalos permanecerem caneta maos traindo consciencias aliados momento,portanto visto pmdebistas uns lambe botas daqueles poder tanto camuflam amigos daqueles podem ajudalos permanecerem caneta maos traindo consciencias aliados momento,portant vist pmdeb um lamb bot daquel pod tant camufl amig daquel pod ajudal permanec canet mao tra conscienc ali moment
Triste PMDB!,Triste PMDB!,0,Triste PMDB,Triste PMDB,Triste PMDB,triste pmdb,trist pmdb
O encontro do que há de pior na política brasileira,O encontro do que há de pior na política brasileira,0,O encontro do que há de pior na política brasileira,O encontro do que ha de pior na politica brasileira,O encontro pior politica brasileira,o encontro pior politica brasileira,o encontr pi poli brasil
Ter turma FSP que representar o novo comunismo .,Ter turma FSP que representar o novo comunismo .,0,Ter turma FSP que representar o novo comunismo ,Ter turma FSP que representar o novo comunismo ,Ter turma FSP representar novo comunismo,ter turma fsp representar novo comunismo,ter turm fsp represent nov comun
"Este ser recriação marxista da luta de classes que uma nomenclatura , elite de vanguarda , arvora dona do saber das massas principalmente né e n com a finalidade da dominação .","Este ser recriação marxista da luta de classes que uma nomenclatura , elite de vanguarda , arvora dona do saber das massas principalmente né e n com a finalidade da dominação .",0,Este ser recriação marxista da luta de classes que uma nomenclatura  elite de vanguarda  arvora dona do saber das massas principalmente né e n com a finalidade da dominação ,Este ser recriacao marxista da luta de classes que uma nomenclatura  elite de vanguarda  arvora dona do saber das massas principalmente ne e n com a finalidade da dominacao ,Este ser recriacao marxista luta classes nomenclatura elite vanguarda arvora dona saber massas principalmente ne n finalidade dominacao,este ser recriacao marxista luta classes nomenclatura elite vanguarda arvora dona saber massas principalmente ne n finalidade dominacao,est ser recriaca marx lut cl nomenclat elit vanguard arv don sab mass princip ne n final dominaca
"Possuem bens , são funcionarios governo federal .","Possuem bens , são funcionarios governo federal .",0,Possuem bens  são funcionarios governo federal ,Possuem bens  sao funcionarios governo federal ,Possuem bens funcionarios governo federal,possuem bens funcionarios governo federal,possu bem funcionari govern feder
Criam divisão nos e eles e utilizam princípios de seus irmãos nazi .,Criam divisão nos e eles e utilizam princípios de seus irmãos nazi .,0,Criam divisão nos e eles e utilizam princípios de seus irmãos nazi ,Criam divisao nos e eles e utilizam principios de seus irmaos nazi ,Criam divisao utilizam principios irmaos nazi,criam divisao utilizam principios irmaos nazi,cri divisa utiliz principi irma naz
Desprovidos de conhecimento .,Desprovidos de conhecimento .,0,Desprovidos de conhecimento ,Desprovidos de conhecimento ,Desprovidos conhecimento,desprovidos conhecimento,desprov conhec
"como seu líder , apostam nas bravatas de mussolini , fasci littri.","como seu líder , apostam nas bravatas de mussolini , fasci littri.",0,como seu líder  apostam nas bravatas de mussolini  fasci littri,como seu lider  apostam nas bravatas de mussolini  fasci littri,lider apostam bravatas mussolini fasci littri,lider apostam bravatas mussolini fasci littri,lid apost bravat mussolin fasc littr
Bolivarianismo.,Bolivarianismo.,0,Bolivarianismo,Bolivarianismo,Bolivarianismo,bolivarianismo,bolivarian
Temer (busquem nos registros do passado) apoiou o golpe de um governo legítimo eleito na Venezuela (de Chávez).,Temer (busquem nos registros do passado) apoiou o golpe de um governo legítimo eleito na Venezuela (de Chávez).,0,Temer busquem nos registros do passado apoiou o golpe de um governo legítimo eleito na Venezuela de Chávez,Temer busquem nos registros do passado apoiou o golpe de um governo legitimo eleito na Venezuela de Chavez,Temer busquem registros passado apoiou golpe governo legitimo eleito Venezuela Chavez,temer busquem registros passado apoiou golpe governo legitimo eleito venezuela chavez,tem busqu registr pass apoi golp govern legit eleit venezuel chav
Eles são personalidades anti-democráticas... é fato irrevogável.,Eles são personalidades anti-democráticas... é fato irrevogável.,0,Eles são personalidades antidemocráticas é fato irrevogável,Eles sao personalidades antidemocraticas e fato irrevogavel,Eles personalidades antidemocraticas fato irrevogavel,eles personalidades antidemocraticas fato irrevogavel,ele personal antidemocra fat irrevoga
São pessoas perigosas.,São pessoas perigosas.,0,São pessoas perigosas,Sao pessoas perigosas,Sao pessoas perigosas,sao pessoas perigosas,sao pesso perig
O pior é que não oferecem saída senão um Ajuste MAIS RIGOROSO na direção da desconstrução do que foi feito até aqui.,O pior é que não oferecem saída senão um Ajuste MAIS RIGOROSO na direção da desconstrução do que foi feito até aqui.,0,O pior é que não oferecem saída senão um Ajuste MAIS RIGOROSO na direção da desconstrução do que foi feito até aqui,O pior e que nao oferecem saida senao um Ajuste MAIS RIGOROSO na direcao da desconstrucao do que foi feito ate aqui,O pior oferecem saida senao Ajuste MAIS RIGOROSO direcao desconstrucao feito aqui,o pior oferecem saida senao ajuste mais rigoroso direcao desconstrucao feito aqui,o pi oferec said sena ajust mais rigor direca desconstruca feit aqu
"O povo ignorante e os de MÁ FÉ, somados àqueles que foram flagrados em desvios e afastados do serviço público, carregam ÓDIO contra o PT...","O povo ignorante e os de MÁ FÉ, somados àqueles que foram flagrados em desvios e afastados do serviço público, carregam ÓDIO contra o PT...",0,O povo ignorante e os de MÁ FÉ somados àqueles que foram flagrados em desvios e afastados do serviço público carregam ÓDIO contra o PT,O povo ignorante e os de MA FE somados aqueles que foram flagrados em desvios e afastados do servico publico carregam ODIO contra o PT,O povo ignorante MA FE somados flagrados desvios afastados servico publico carregam ODIO contra PT,o povo ignorante ma fe somados flagrados desvios afastados servico publico carregam odio contra pt,o pov ignor ma fe som flagr desvi afast serv publ carreg odi contr pt
"[Esse indesejável e corrupto político]P7, destruiu MG, massacrou os professores, acabou com a carreira do magistério.","Esse indesejável e corrupto político, destruiu MG, massacrou os professores, acabou com a carreira do magistério.",0,Esse indesejável e corrupto político destruiu MG massacrou os professores acabou com a carreira do magistério,Esse indesejavel e corrupto politico destruiu MG massacrou os professores acabou com a carreira do magisterio,Esse indesejavel corrupto politico destruiu MG massacrou professores acabou carreira magisterio,esse indesejavel corrupto politico destruiu mg massacrou professores acabou carreira magisterio,ess indeseja corrupt poli destru mg massacr profes acab carr magisteri
Nunca mais ganhará em MG.,Nunca mais ganhará em MG.,0,Nunca mais ganhará em MG,Nunca mais ganhara em MG,Nunca ganhara MG,nunca ganhara mg,nunc ganh mg
Expressa luta de classes .,Expressa luta de classes .,0,Expressa luta de classes ,Expressa luta de classes ,Expressa luta classes,expressa luta classes,express lut cl
Usa desamor por burguesia .,Usa desamor por burguesia .,0,Usa desamor por burguesia ,Usa desamor por burguesia ,Usa desamor burguesia,usa desamor burguesia,usa desam burgues
Informar que capitalismo não ter volta no mundo.,Informar que capitalismo não ter volta no mundo.,0,Informar que capitalismo não ter volta no mundo,Informar que capitalismo nao ter volta no mundo,Informar capitalismo ter volta mundo,informar capitalismo ter volta mundo,inform capit ter volt mund
Não adianta querer nomenclatura russa .,Não adianta querer nomenclatura russa .,0,Não adianta querer nomenclatura russa ,Nao adianta querer nomenclatura russa ,Nao adianta querer nomenclatura russa,nao adianta querer nomenclatura russa,nao adiant quer nomenclat russ
Esta acabou em 1989 .,Esta acabou em 1989 .,0,Esta acabou em 1989 ,Esta acabou em 1989 ,Esta acabou 1989,esta acabou 1989,est acab 1989
Nem só pete existe no Brasil .,Nem só pete existe no Brasil .,0,Nem só pete existe no Brasil ,Nem so pete existe no Brasil ,Nem pete existe Brasil,nem pete existe brasil,nem pet exist brasil
Pete hoje representa o que de mais atrasado existe mundo : Bolivarianismo e Cubanismo .,Pete hoje representa o que de mais atrasado existe mundo : Bolivarianismo e Cubanismo .,0,Pete hoje representa o que de mais atrasado existe mundo  Bolivarianismo e Cubanismo ,Pete hoje representa o que de mais atrasado existe mundo  Bolivarianismo e Cubanismo ,Pete hoje representa atrasado existe mundo Bolivarianismo Cubanismo,pete hoje representa atrasado existe mundo bolivarianismo cubanismo,pet hoj represent atras exist mund bolivarian cuban
Olhar somente interesse de grupos .,Olhar somente interesse de grupos .,0,Olhar somente interesse de grupos ,Olhar somente interesse de grupos ,Olhar somente interesse grupos,olhar somente interesse grupos,olh soment inter grup
Inflação .,Inflação .,0,Inflação ,Inflacao ,Inflacao,inflacao,inflaca
Recessão .,Recessão .,0,Recessão ,Recessao ,Recessao,recessao,recessa
Desemprego .,Desemprego .,0,Desemprego ,Desemprego ,Desemprego,desemprego,desempreg
"Fechamento fábricas , milhões desempregados um presente de pete.","Fechamento fábricas , milhões desempregados um presente de pete.",0,Fechamento fábricas  milhões desempregados um presente de pete,Fechamento fabricas  milhoes desempregados um presente de pete,Fechamento fabricas milhoes desempregados presente pete,fechamento fabricas milhoes desempregados presente pete,fech fabr milho desempreg pres pet
Situação caótica .,Situação caótica .,0,Situação caótica ,Situacao caotica ,Situacao caotica,situacao caotica,situaca cao
welle estar sumido .,welle estar sumido .,0,welle estar sumido ,welle estar sumido ,welle estar sumido,welle estar sumido,well est sum
O hoje líder da oposição governou seu estado em aliança com a situação por anos.,O hoje líder da oposição governou seu estado em aliança com a situação por anos.,0,O hoje líder da oposição governou seu estado em aliança com a situação por anos,O hoje lider da oposicao governou seu estado em alianca com a situacao por anos,O hoje lider oposicao governou estado alianca situacao anos,o hoje lider oposicao governou estado alianca situacao anos,o hoj lid oposica govern est alianc situaca ano
Luta de classes Usa ódio por burguesia .,Luta de classes Usa ódio por burguesia .,0,Luta de classes Usa ódio por burguesia ,Luta de classes Usa odio por burguesia ,Luta classes Usa odio burguesia,luta classes usa odio burguesia,lut cl usa odi burgues
Mas trabalhar para pete ter salário computador .,Mas trabalhar para pete ter salário computador .,0,Mas trabalhar para pete ter salário computador ,Mas trabalhar para pete ter salario computador ,Mas trabalhar pete ter salario computador,mas trabalhar pete ter salario computador,mas trabalh pet ter salari comput
Informar que capitalismo não ter volta no mundo.,Informar que capitalismo não ter volta no mundo.,0,Informar que capitalismo não ter volta no mundo,Informar que capitalismo nao ter volta no mundo,Informar capitalismo ter volta mundo,informar capitalismo ter volta mundo,inform capit ter volt mund
Não adianta querer nomenclatura russa .,Não adianta querer nomenclatura russa .,0,Não adianta querer nomenclatura russa ,Nao adianta querer nomenclatura russa ,Nao adianta querer nomenclatura russa,nao adianta querer nomenclatura russa,nao adiant quer nomenclat russ
Esta acabou em 1989 .,Esta acabou em 1989 .,0,Esta acabou em 1989 ,Esta acabou em 1989 ,Esta acabou 1989,esta acabou 1989,est acab 1989
Nem só pete existe no Brasil .,Nem só pete existe no Brasil .,0,Nem só pete existe no Brasil ,Nem so pete existe no Brasil ,Nem pete existe Brasil,nem pete existe brasil,nem pet exist brasil
Pete hoje representa o que de mais atrasado existe mundo : Bolivarianismo e Cubanismo .,Pete hoje representa o que de mais atrasado existe mundo : Bolivarianismo e Cubanismo .,0,Pete hoje representa o que de mais atrasado existe mundo  Bolivarianismo e Cubanismo ,Pete hoje representa o que de mais atrasado existe mundo  Bolivarianismo e Cubanismo ,Pete hoje representa atrasado existe mundo Bolivarianismo Cubanismo,pete hoje representa atrasado existe mundo bolivarianismo cubanismo,pet hoj represent atras exist mund bolivarian cuban
Olhar somente interesse de grupos .,Olhar somente interesse de grupos .,0,Olhar somente interesse de grupos ,Olhar somente interesse de grupos ,Olhar somente interesse grupos,olhar somente interesse grupos,olh soment inter grup
Resultado : Inflação .,Resultado : Inflação .,0,Resultado  Inflação ,Resultado  Inflacao ,Resultado Inflacao,resultado inflacao,result inflaca
Recessão .,Recessão .,0,Recessão ,Recessao ,Recessao,recessao,recessa
Desemprego .,Desemprego .,0,Desemprego ,Desemprego ,Desemprego,desemprego,desempreg
"Fechamento fábricas , milhões desempregados , um presente pete.","Fechamento fábricas , milhões desempregados , um presente pete.",0,Fechamento fábricas  milhões desempregados  um presente pete,Fechamento fabricas  milhoes desempregados  um presente pete,Fechamento fabricas milhoes desempregados presente pete,fechamento fabricas milhoes desempregados presente pete,fech fabr milho desempreg pres pet
Não me meça com a sua régua.,Não me meça com a sua régua.,0,Não me meça com a sua régua,Nao me meca com a sua regua,Nao meca regua,nao meca regua,nao mec regu
"Posso sr o que vc quiser, mas, jamais me escondo!","Posso sr o que vc quiser, mas, jamais me escondo!",0,Posso sr o que vc quiser mas jamais me escondo,Posso sr o que vc quiser mas jamais me escondo,Posso sr vc quiser jamais escondo,posso sr vc quiser jamais escondo,poss sr vc quis jamal esc
"É so observar ostermos [desse sr. moreira]P7 que não comenta, seu papel é o de através ofensas pessoais, provocação e arrogancia tentar desqualificar argumentos não favoraveis aos trycanos, ele é um daqueles que se acreditam donos do Pais.","É so observar ostermos desse sr. moreira]P7 que não comenta, seu papel é o de através ofensas pessoais, provocação e arrogancia tentar desqualificar argumentos não favoraveis aos trycanos, ele é um daqueles que se acreditam donos do Pais.",0,É so observar ostermos desse sr moreiraP7 que não comenta seu papel é o de através ofensas pessoais provocação e arrogancia tentar desqualificar argumentos não favoraveis aos trycanos ele é um daqueles que se acreditam donos do Pais,E so observar ostermos desse sr moreiraP7 que nao comenta seu papel e o de atraves ofensas pessoais provocacao e arrogancia tentar desqualificar argumentos nao favoraveis aos trycanos ele e um daqueles que se acreditam donos do Pais,E observar ostermos desse sr moreiraP7 comenta papel atraves ofensas pessoais provocacao arrogancia tentar desqualificar argumentos favoraveis trycanos daqueles acreditam donos Pais,e observar ostermos desse sr moreirap7 comenta papel atraves ofensas pessoais provocacao arrogancia tentar desqualificar argumentos favoraveis trycanos daqueles acreditam donos pais,e observ ost dess sr moreirap7 coment papel atrav ofens pessoal provocaca arroganc tent desqualific argument favora tryc daquel acredit don pal
Escondido atraz de pseudononimo corajosamente ofende quem não comenta da maneira que ele gosta...,Escondido atraz de pseudononimo corajosamente ofende quem não comenta da maneira que ele gosta...,0,Escondido atraz de pseudononimo corajosamente ofende quem não comenta da maneira que ele gosta,Escondido atraz de pseudononimo corajosamente ofende quem nao comenta da maneira que ele gosta,Escondido atraz pseudononimo corajosamente ofende comenta maneira gosta,escondido atraz pseudononimo corajosamente ofende comenta maneira gosta,escond atraz pseudonon corajos ofend coment man gost
"Tudo nesta vida, tem altos e baixos seja na vida cotidiana ou em qualquer outra atividade humana.","Tudo nesta vida, tem altos e baixos seja na vida cotidiana ou em qualquer outra atividade humana.",0,Tudo nesta vida tem altos e baixos seja na vida cotidiana ou em qualquer outra atividade humana,Tudo nesta vida tem altos e baixos seja na vida cotidiana ou em qualquer outra atividade humana,Tudo nesta vida altos baixos vida cotidiana qualquer outra atividade humana,tudo nesta vida altos baixos vida cotidiana qualquer outra atividade humana,tud nest vid alt baix vid cotidi qualqu outr ativ human
Devo lembrar que falei sobre atuação de advogados .,Devo lembrar que falei sobre atuação de advogados .,0,Devo lembrar que falei sobre atuação de advogados ,Devo lembrar que falei sobre atuacao de advogados ,Devo lembrar falei sobre atuacao advogados,devo lembrar falei sobre atuacao advogados,dev lembr fal sobr atuaca advog
O que mais desejam e protelar os casos pata que percam aplicabilidade .,O que mais desejam e protelar os casos pata que percam aplicabilidade .,0,O que mais desejam e protelar os casos pata que percam aplicabilidade ,O que mais desejam e protelar os casos pata que percam aplicabilidade ,O desejam protelar casos pata percam aplicabilidade,o desejam protelar casos pata percam aplicabilidade,o desej protel cas pat perc aplic
Então ficam enrolando com temas e mais temas irrelevantes até prescrever tempo de pagar por crime .,Então ficam enrolando com temas e mais temas irrelevantes até prescrever tempo de pagar por crime .,0,Então ficam enrolando com temas e mais temas irrelevantes até prescrever tempo de pagar por crime ,Entao ficam enrolando com temas e mais temas irrelevantes ate prescrever tempo de pagar por crime ,Entao ficam enrolando temas temas irrelevantes prescrever tempo pagar crime,entao ficam enrolando temas temas irrelevantes prescrever tempo pagar crime,enta fic enrol tem tem irrelev prescrev temp pag crim
Que esqueça até prescrever pela lei ato lesivo .,Que esqueça até prescrever pela lei ato lesivo .,0,Que esqueça até prescrever pela lei ato lesivo ,Que esqueca ate prescrever pela lei ato lesivo ,Que esqueca prescrever lei ato lesivo,que esqueca prescrever lei ato lesivo,que esquec prescrev lei ato lesiv
"Ao que tenha entendido, o procurador geral da República não se referiu a utilização de recursos investigados na operação Lava Jato e sobre o que o TSE solicitou informações ao juiz que trata do assunto.","Ao que tenha entendido, o procurador geral da República não se referiu a utilização de recursos investigados na operação Lava Jato e sobre o que o TSE solicitou informações ao juiz que trata do assunto.",0,Ao que tenha entendido o procurador geral da República não se referiu a utilização de recursos investigados na operação Lava Jato e sobre o que o TSE solicitou informações ao juiz que trata do assunto,Ao que tenha entendido o procurador geral da Republica nao se referiu a utilizacao de recursos investigados na operacao Lava Jato e sobre o que o TSE solicitou informacoes ao juiz que trata do assunto,Ao entendido procurador geral Republica referiu utilizacao recursos investigados operacao Lava Jato sobre TSE solicitou informacoes juiz trata assunto,ao entendido procurador geral republica referiu utilizacao recursos investigados operacao lava jato sobre tse solicitou informacoes juiz trata assunto,ao entend procur geral republ refer utilizaca recurs investig operaca lav jat sobr tse solicit informaco juiz trat assunt
Imaginem a pouca vergonha que deverser os telefonemas de dilma pra [esse janot]P7.,Imaginem a pouca vergonha que deverser os telefonemas de dilma pra esse janot.,0,Imaginem a pouca vergonha que deverser os telefonemas de dilma pra esse janot,Imaginem a pouca vergonha que deverser os telefonemas de dilma pra esse janot,Imaginem pouca vergonha deverser telefonemas dilma pra janot,imaginem pouca vergonha deverser telefonemas dilma pra janot,imagin pouc vergonh devers telefonem dilm pra janot
Muito comentário reclamando do procurador.,Muito comentário reclamando do procurador.,0,Muito comentário reclamando do procurador,Muito comentario reclamando do procurador,Muito comentario reclamando procurador,muito comentario reclamando procurador,muit comentari reclam procur
O PGR na figura deste sujeito não é pgr é advogado de diLLma...!,O PGR na figura deste sujeito não é pgr é advogado de diLLma...!,0,O PGR na figura deste sujeito não é pgr é advogado de diLLma,O PGR na figura deste sujeito nao e pgr e advogado de diLLma,O PGR figura deste sujeito pgr advogado diLLma,o pgr figura deste sujeito pgr advogado dillma,o pgr figur dest sujeit pgr advog dillm
"Pobre Brasil, pobre República...","Pobre Brasil, pobre República...",0,Pobre Brasil pobre República,Pobre Brasil pobre Republica,Pobre Brasil pobre Republica,pobre brasil pobre republica,pobr brasil pobr republ
Este sujeito representa bem o que o Brasil é hoje.,Este sujeito representa bem o que o Brasil é hoje.,0,Este sujeito representa bem o que o Brasil é hoje,Este sujeito representa bem o que o Brasil e hoje,Este sujeito representa bem Brasil hoje,este sujeito representa bem brasil hoje,est sujeit represent bem brasil hoj
"Um país onde tudo é relativo, onde nada é grave e onde a população tem que engolir tudo sem reclamar.","Um país onde tudo é relativo, onde nada é grave e onde a população tem que engolir tudo sem reclamar.",0,Um país onde tudo é relativo onde nada é grave e onde a população tem que engolir tudo sem reclamar,Um pais onde tudo e relativo onde nada e grave e onde a populacao tem que engolir tudo sem reclamar,Um pais onde tudo relativo onde nada grave onde populacao engolir tudo reclamar,um pais onde tudo relativo onde nada grave onde populacao engolir tudo reclamar,um pal ond tud relat ond nad grav ond populaca engol tud reclam
Figura lamentável este Janot!,Figura lamentável este Janot!,0,Figura lamentável este Janot,Figura lamentavel este Janot,Figura lamentavel Janot,figura lamentavel janot,figur lamenta janot
Sr Janot começando a mostrar a verdadeira face !!,Sr Janot começando a mostrar a verdadeira face !!,0,Sr Janot começando a mostrar a verdadeira face ,Sr Janot comecando a mostrar a verdadeira face ,Sr Janot comecando mostrar verdadeira face,sr janot comecando mostrar verdadeira face,sr janot comec mostr verd fac
[Esse grupo]P7 vai tentar de tudo mas a eleiçao municipal vai mudar a historia do país !,Esse grupo vai tentar de tudo mas a eleiçao municipal vai mudar a historia do país !,0,Esse grupo vai tentar de tudo mas a eleiçao municipal vai mudar a historia do país ,Esse grupo vai tentar de tudo mas a eleicao municipal vai mudar a historia do pais ,Esse grupo vai tentar tudo eleicao municipal vai mudar historia pais,esse grupo vai tentar tudo eleicao municipal vai mudar historia pais,ess grup vai tent tud eleica municip vai mud hist pal
Isso o Sr nao irà interferir...,Isso o Sr nao irà interferir...,0,Isso o Sr nao irà interferir,Isso o Sr nao ira interferir,Isso Sr ira interferir,isso sr ira interferir,iss sr ira interfer
Eu não choro só.,Eu não choro só.,0,Eu não choro só,Eu nao choro so,Eu choro,eu choro,eu chor
Quem chora é toda uma nação.,Quem chora é toda uma nação.,0,Quem chora é toda uma nação,Quem chora e toda uma nacao,Quem chora toda nacao,quem chora toda nacao,qu chor tod naca
Pior é quem apóia essa sandice.,Pior é quem apóia essa sandice.,0,Pior é quem apóia essa sandice,Pior e quem apoia essa sandice,Pior apoia sandice,pior apoia sandice,pi apo sand
"toma, seus larápios de merenda!","toma, seus larápios de merenda!",0,toma seus larápios de merenda,toma seus larapios de merenda,toma larapios merenda,toma larapios merenda,tom larapi merend
"Uma das classes de larápios sabidamente conhecido hoje no Brasil é uma facção travestida de partido político, não é comissionado!","Uma das classes de larápios sabidamente conhecido hoje no Brasil é uma facção travestida de partido político, não é comissionado!",0,Uma das classes de larápios sabidamente conhecido hoje no Brasil é uma facção travestida de partido político não é comissionado,Uma das classes de larapios sabidamente conhecido hoje no Brasil e uma faccao travestida de partido politico nao e comissionado,Uma classes larapios sabidamente conhecido hoje Brasil faccao travestida partido politico comissionado,uma classes larapios sabidamente conhecido hoje brasil faccao travestida partido politico comissionado,uma cl larapi sabid conhec hoj brasil facca travest part poli comission
O país esta quebrado...,O país esta quebrado...,0,O país esta quebrado,O pais esta quebrado,O pais quebrado,o pais quebrado,o pal quebr
Haha chorem mais.,Haha chorem mais.,0,Haha chorem mais,Haha chorem mais,Haha chorem,haha chorem,hah chor
"Ah a subserviência, mais um apaniguado defendendo a [boquinha]P2.","Ah a subserviência, mais um apaniguado defendendo a boquinha.",0,Ah a subserviência mais um apaniguado defendendo a boquinha,Ah a subserviencia mais um apaniguado defendendo a boquinha,Ah subserviencia apaniguado defendendo boquinha,ah subserviencia apaniguado defendendo boquinha,ah subservienc apanigu defend boqu
"Tomé tenência, sujeito.","Tomé tenência, sujeito.",0,Tomé tenência sujeito,Tome tenencia sujeito,Tome tenencia sujeito,tome tenencia sujeito,tom tenenc sujeit
"Em troca de sua indicação por dilma à recondução ao cargo, janot empenhou a própria alma.","Em troca de sua indicação por dilma à recondução ao cargo, janot empenhou a própria alma.",0,Em troca de sua indicação por dilma à recondução ao cargo janot empenhou a própria alma,Em troca de sua indicacao por dilma a reconducao ao cargo janot empenhou a propria alma,Em troca indicacao dilma reconducao cargo janot empenhou propria alma,em troca indicacao dilma reconducao cargo janot empenhou propria alma,em troc indicaca dilm reconduca carg janot empenh propr alm
Quanta sujeira mais ainda teremos que assistir vinda das entranhas mais fétidas do poder?,Quanta sujeira mais ainda teremos que assistir vinda das entranhas mais fétidas do poder?,0,Quanta sujeira mais ainda teremos que assistir vinda das entranhas mais fétidas do poder,Quanta sujeira mais ainda teremos que assistir vinda das entranhas mais fetidas do poder,Quanta sujeira ainda assistir vinda entranhas fetidas poder,quanta sujeira ainda assistir vinda entranhas fetidas poder,quant suj aind assist vind entranh fet pod
"Calma, o pensamento do procurador foi em agosto de 2015, estamos em 2016 e o Dr.Sergio Moro enviou ao TSE provas robusta de que a coisa é muito grave, gravíssima, agora nào sào mais acusações, sào provas gravíssimas, portanto agora há motivos muitos fortes.","Calma, o pensamento do procurador foi em agosto de 2015, estamos em 2016 e o Dr.Sergio Moro enviou ao TSE provas robusta de que a coisa é muito grave, gravíssima, agora nào sào mais acusações, sào provas gravíssimas, portanto agora há motivos muitos fortes.",0,Calma o pensamento do procurador foi em agosto de 2015 estamos em 2016 e o DrSergio Moro enviou ao TSE provas robusta de que a coisa é muito grave gravíssima agora nào sào mais acusações sào provas gravíssimas portanto agora há motivos muitos fortes,Calma o pensamento do procurador foi em agosto de 2015 estamos em 2016 e o DrSergio Moro enviou ao TSE provas robusta de que a coisa e muito grave gravissima agora nao sao mais acusacoes sao provas gravissimas portanto agora ha motivos muitos fortes,Calma pensamento procurador agosto 2015 2016 DrSergio Moro enviou TSE provas robusta coisa grave gravissima agora acusacoes provas gravissimas portanto agora motivos muitos fortes,calma pensamento procurador agosto 2015 2016 drsergio moro enviou tse provas robusta coisa grave gravissima agora acusacoes provas gravissimas portanto agora motivos muitos fortes,calm pens procur agost 2015 2016 drsergi mor envi tse prov robust cois grav graviss agor acusaco prov graviss portant agor motiv muit fort
